cdg-0283	上帝也抓狂2	上帝也瘋狂2：諸神的審判|'Populous 2: Trials of the Olympian Gods'	1991	Bullfrog
cdg-0284	上帝也抓狂3	上帝也瘋狂3：開天闢地|起源|'Populous: The Beginning'	2001	Bullfrog
cdg-0285	上海2000	上海兩千|Shang-Hai 2000	1999	光譜
cdg-0286	上海城市賽車	Shanghai Street Racer	2004	Team6
cdg-0287	上海大富翁1940		1998	北極星工作室
cdg-0288	上海麻將：王朝	'Shanghai: Dynasty'	1997	Quicksilver
cdg-0289	上海麻將：王朝2	'Shanghai: Second Dynasty'	1999	Quicksilver
cdg-0290	上海麻將2：龍之眼	Shanghai 2 - Dragon's Eye	1990	Activision
cdg-0291	中世紀	Medieval	1998	Incredible Simulations
cdg-0292	中世紀2	Medieval 2	2000	Incredible Simulations
cdg-0293	中世紀：全軍破敵	全面戰爭|'Medieval: Total War'	2002	Creative Assembly
cdg-0294	中世紀2：全軍破敵	全面戰爭|'Medieval 2: Total War'	2006	Creative Assembly
cdg-0295	中國		1995	世紀縱橫
cdg-0296	中國棋手國際大賽回顧百局精選第二輯		1997	九所
cdg-0297	中國棋王之無敵五子棋		1999	新造科技
cdg-0298	中國棋王之象棋大對決		2000	新造科技
cdg-0299	中國棋王之黑白棋		2009	新造科技
cdg-0300	中國棋王2之暗棋大車拼		2000	新造科技
cdg-0301	中國武將列傳		1997	旭光
cdg-0302	中國象棋		1995	吳身潤
cdg-0303	中國象棋之四子棋篇		1996	普威爾
cdg-0304	中國象棋之五子棋篇		1996	普威爾
cdg-0305	中國象棋之西洋棋篇		1996	普威爾
cdg-0306	中國象棋之西洋雙陸棋篇		1997	普威爾
cdg-0307	中國象棋之英式西洋棋篇		1996	普威爾
cdg-0308	中國象棋之圍棋篇		1996	普威爾
cdg-0309	中國象棋之象棋篇		1996	普威爾
cdg-0310	中國象棋之麻將		1995	普威爾
cdg-0311	中國象棋之黑白棋篇		1996	普威爾
cdg-0312	中國象棋之橋牌篇		1996	普威爾
cdg-0313	中國象棋大師		1996	愛嘉
cdg-0314	中國象棋大師		1996	先博多
cdg-0315	中國象棋經典戰例1000例(古譜集)		2003	大恆電子出版社
cdg-0316	中文輸入法練習		1995	Microsoft
cdg-0317	中英快打無影手		2001	榮欽
cdg-0318	中英文輸入練習高手速成		1994	星僑
cdg-0319	中華一番客棧1	中華客棧1	2000	歡樂家庭
cdg-0320	中華一番客棧2	中華客棧2：滿漢傳奇	2001	飛玩資訊
cdg-0321	中華職棒1	中华职棒	1993	智冠
cdg-0322	中華職棒2		1994	智冠
cdg-0323	中華象棋		2002	伊世紀
cdg-0324	乒乓彈珠檯	魔幻彈珠台|奇幻彈珠台|Pinball Fantasies	1994	FrontLine
cdg-0325	亂世伏魔錄		1993	精訊
cdg-0326	亂世奇緣	Time Stranger|Pythian	2000	Studio e.go
cdg-0327	亂世梟雄		2002	大新
cdg-0328	亂世疑雲	'Arcatera: The Dark Brotherhood'	2000	Westka
cdg-0329	亂蝶	Rantyo	1998	FIX
cdg-0330	事務女郎2	事物所女郎2|總務部事務課2|The LoveLy of office girl 2	1999	h.m.p
cdg-0331	二戰坦克：	'T-34對虎式 WWII Battle Tanks: T-34 vs. Tiger'	2007	G5 Software
cdg-0332	二戰坦克指揮官	WWII Tank Commander	2005	Sylum
cdg-0333	二戰士兵	二戰英雄|WWII GI	1999	TNT
cdg-0334	二戰戰役：柏林之路	'World War II Combat: Road To Berlin'|'Battlestrike: Secret Weapons'	2005	Direct Action
cdg-0335	二戰戰役：硫磺島	'World War II Combat: Iwo Jima'|The Heat of War	2006	Direct Action
cdg-0336	二戰狙擊手：勝利的召喚	World War II Sniper|'Battlestrike: Call to Victory'	2004	Jarhead
cdg-0337	二戰風雲：前線指揮官	終極前線二戰動員令|'World War II: Frontline Command'	2003	The Bitmap Brothers
cdg-0338	二戰風雲：沙漠之鼠	'WWII: Desert Rats'	2002	Canopy
cdg-0339	二戰風雲：血染諾曼底	'WWII: Normandy'	2001	3LV
cdg-0340	二戰風雲：鋼鐵之爪1	烽火戰線|'World War 2: Panzer Claws'	2002	Topware
cdg-0341	二戰風雲：鋼鐵之爪2	'World War II: Panzer Claws II'	2004	Zuxxez
cdg-0342	二戰風雲之勝利大逃亡	The Great Escape	2003	Pivotal
cdg-0343	二戰風雲之太平洋海戰	'WWII: Iwo Jima'	2001	3LV
cdg-0344	二戰風雲之鐵道快砲	'War Train: Normandie 1944'	2002	Asylum
cdg-0345	五子棋		1988	第三波
cdg-0346	五子棋大師		1994	光譜
cdg-0347	五子棋大師2		1999	光譜
cdg-0348	五子棋：宇宙幻影	五子棋－宇宙幻影	1998	金點
cdg-0349	五子爆笑棋		2002	伊世紀
cdg-0350	五小福大富翁		2005	歡樂家庭
cdg-0351	大反擊	另一個世界2|'Flashback: The Quest for Identity'	1993	Delphine
cdg-0352	大唐三藏		2000	三馳
cdg-0353	大唐英雄傳		1997	盤古軟件
cdg-0354	大唐英雄傳	新大唐英雄傳	2003	昌哲科技
cdg-0355	大唐詩錄		1996	岡業
cdg-0356	大唐隸教傳		2005	伊思儷
cdg-0357	大唐雙龍傳		2001	次方科技
cdg-0358	大地英豪		2000	火鳳凰
cdg-0359	大地雄獅	大地雄師|'Under Lien: Safety Zone'	1997	Sailon
cdg-0360	大宋英豪之岳飛傳	大宋英豪岳飛傳|大宋英豪岳飞传	1999	智冠
cdg-0361	大家來找	X	2001	娛動工場
cdg-0362	大家來找	X：2002冠軍之路	2002	娛動工場
cdg-0363	大家來找	X2	2001	娛動工場
cdg-0364	大富翁1	大富翁	1989	大宇
cdg-0365	大富翁2		1993	大宇
cdg-0366	大富翁3		1996	大宇
cdg-0367	大富翁4		1998	大宇
cdg-0368	大富翁5		2001	大宇
cdg-0369	大富翁6		2002	大宇
cdg-0370	大富翁7		2003	大宇
cdg-0371	大富翁8		2006	大宇
cdg-0372	大富翁8美眉		2003	京群
cdg-0373	大富翁10		2019	大宇
cdg-0374	大富翁11		2022	大宇
cdg-0375	大富翁世界之旅1		1999	宇峻
cdg-0376	大富翁世界之旅2		2002	宇峻
cdg-0377	大富翁世界之旅3		2007	宇峻
cdg-0378	大富翁之城市英雄	大富翁城市英雄	1997	美夢成真
cdg-0379	大富翁之大唐英雄遊江南		2004	斯普
cdg-0380	大富翁之破壞超人	Destroy Man|大富翁-破坏超人	1996	Gameone
cdg-0381	大富翁之選戰風雲		1999	大宇
cdg-0382	大富翁樂園		1997	泰騰
cdg-0383	大富翁環遊世界		1990	定碁
cdg-0384	大富翁總動員1：瘋狂模擬戰		1997	亞克米
cdg-0385	大富翁總動員2：童話狗仔隊		2001	亞克米
cdg-0386	大富翁與小富婆		2004	冠捷
cdg-0387	大富翁：升官之途		2000	晟業
cdg-0388	大富翁：夢之童話大陸	Dream Of Fairy Tale Morlb	2005	史萊姆數位
cdg-0389	大戰略1		1991	漢堂
cdg-0390	大戰略2：世界戰役篇		1993	Dragon Group
cdg-0391	大戰略5		1996	SystemSoft
cdg-0392	大戰略	Perfect 3.0|完美大戰略3 Daisenryaku Perfect 3.0	2009	SystemSoft
cdg-0393	大戰略	Perfect 4.0|完美大戰略4 Daisenryaku Perfect 4.0	2018	SystemSoft
cdg-0394	大戰略	SP1：閏八月台海大對決	1995	Dragon Group
cdg-0395	大戰略	SP2：釣魚台風雲篇	1996	Dragon Group
cdg-0396	大戰略：大東亞興亡史2		2007	SystemSoft
cdg-0397	大戰略：王者之師	'Daisenyaku: Master Combat'	1998	SystemSoft
cdg-0398	大明英雄傳：龍騰天下		1993	智冠
