id	title	year	developer	region	publisher_tw	signals
cdg-0694	印第大賽車2	1995	Papyrus	null		
cdg-0695	印第安納瓊斯4：末日危機	1999	Lucas	null		
cdg-0697	厄夜驚悚	1999	Terminal Reality	null	華義	
cdg-0698	原始人大賽車	1995	Core Design	null		
cdg-0702	叛艦迷航正義之旅	1995	Midnight	null		
cdg-0707	多多筆2：森林遊樂園	1997	大方廣資訊	null	碁峰	
cdg-0708	夜想曲：妖精們的敘情詩	1998	Jamie	null	富峰群	
cdg-0711	失子之城	1997	Psygnosis	null	三賢影視	
cdg-0714	失落的女神：鑽石之章	2000	Min Communication	KR	歡樂盒	
cdg-0721	正宗中國暗棋之華容道	1998	普威爾	TW		
cdg-0722	正宗中國暗棋之西瓜棋	1998	普威爾	TW		
cdg-0723	正宗中國象棋 棋王之王	2000	普威爾	TW		
cdg-0727	正宗四川省麻將	1994	九藝	null		
cdg-0730	正式	1999	Lankhor	null	宏碁	
cdg-0733	武士的選擇	1999	Silmarils	null		
cdg-0740	武林群俠傳	2001	智冠	TW	智冠	
cdg-0747	立體俄羅斯方塊3	1995	J. Shramko	null		
cdg-0748	立體彈珠台1	1995	Cinematronics	null		
cdg-0749	立體彈珠台2	1996	Maxis	US		
cdg-0751	立體狂飆	1995	Refinery	null		
cdg-0755	童話大進擊	1995	光復	null		
cdg-0759	地下城主2	1993	FTL	null		
cdg-0760	地城守護者1	1997	Bullfrog	GB		
cdg-0766	地獄怪客：夜之犬	2000	Cryo	FR		
cdg-0768	地面控制1	2000	Massive	null		
cdg-0774	坦克大決戰：橘子保衛戰	2000	遊戲橘子	null		
cdg-0775	坦克殺手	2000	ElectroTech	null		
cdg-0778	城堡幻想曲3艾倫希亞戰記	2000	Studio e.go	JP		
cdg-0780	城市百分百	2000	永世泰	null	華彩	
cdg-0781	基因戰士	2006	Burut	null	光譜	
cdg-0782	基礎日語火速上口	1999	甦活光碟	null		
