id	title_zh	year	developer	publisher_tw	loc	platform	chiuinan_url
cdg-2931	凱撒大帝3	1998	Impressions	第三波	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c33/caesar3.htm
cdg-2983	創龍傳	1998	Makkoya	梵太師	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c31/harmonia.htm
cdg-2999	加菲貓	1998	草莓軟體		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c44/catiq.htm
cdg-3080	東方傳記	1998	安峻		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c52/eastern.htm
cdg-3086	柏德之門1	1998	BioWare	英特衛	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c12/bg1.htm
cdg-3117	極樂大進擊	1998	美夢成真		native	DOS	https://chiuinan.github.io/game/game/intro/ch/c44/balls.htm
cdg-3207	模擬飛航	1998	AQUA	俊伸	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c33/jetstrm.htm
cdg-3325	爆爆急急豆	1998	福茂,友尚		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c52/seedgame.htm
cdg-3351	賭神2000	1998	博亞		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c44/log2000.htm
cdg-3362	孔明棋	1998	普威爾		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c41/kmq.htm
cdg-3419	芭比新潮美髮師	1998	Mattel	草莓軟體	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c33/bbmhs.htm
cdg-3577	羅德島戰記：灰色魔女	1998	Humming Bird	歡樂盒	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c31/rlw1.htm
cdg-3602	鐵甲英豪	1998	Family Production		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c31/silverm.htm
cdg-3779	魔鬼戰將1	1998	Eidos		localized	Win9x	https://chiuinan.github.io/game/game/intro/ch/c32/cmdos.htm
cdg-3795	歡樂大航海	1998	立體派		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c43/sailing.htm
cdg-0172	公主戰記	1999	AIC	華義	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c11/pqr.htm
cdg-0285	上海2000	1999	光譜		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c42/sh2000.htm
cdg-0330	事務女郎2	1999	h.m.p	歡樂盒	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c33/soumu2.htm
cdg-0347	五子棋大師2	1999	光譜		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c41/ms52.htm
cdg-0669	世紀戰略	1999	北京逆火		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/tgs.htm
cdg-0853	致命連鎖	1999	亞克米	智冠	native	Windows	https://chiuinan.github.io/game/game/intro/ch/c51/ccfight.htm
cdg-0882	裝甲元帥3	1999	SSI	第3波	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/pg3d.htm
